"Source:","C:\Users\Eddie\Desktop\SYNTH ACTUAL\as3340\as3340.kicad_sch"
"Date:","4/26/2023 4:23:17 AM"
"Tool:","Eeschema (6.0.5)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","219"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100nf","pspice:C","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"","","C2","10nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C3","1nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C4","1nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C5","1nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C6","10nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C7","100nf","pspice:C","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","~"
"","","C8","10nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C9","1nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C10","1nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C11","10nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","C12","1nf","pspice:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~"
"","","D1","DIODE","pspice:DIODE","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D2","DIODE","pspice:DIODE","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
"","","D3","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D4","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D5","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D6","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D7","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D8","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D9","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D10","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D11","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D12","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D13","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D14","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D15","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D16","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D17","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","D18","LD271","LED:LD271","LED_SMD:LED_0603_1608Metric","http://www.alliedelec.com/m/d/40788c34903a719969df15f1fbea1056.pdf"
"","","J1","LinearFMInput","Connector:AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"","","J2","Conn_01x01_Male","Connector:Conn_01x01_Male","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"","","J3","HardSyncInput","Connector:AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"","","J4","SoftSyncInput","Connector:AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"","","J5","CV1","Connector:AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"","","J6","Conn_01x01_Male","Connector:Conn_01x01_Male","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"","","J7","PWM Input","Connector:AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"","","J8","SQR OUT","Connector:AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
"","","J9","SAW OUT","Connector:AudioJack2","Connector_Audio:Jack_3.5mm_PJ320E_Horizontal","~"
